Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
12,0.49368324875831604,2.4197916984558105,78.4679946899414,0.5530212654123484,-0.04166658843526878,-89.47353172645029,0.5647551,3.9822874,14.681117,6.8280077,-7.627615,-4.824155,0.16798477,-6.1535335,-6.676397,8.242234,-8.821543,5.982319,1.194589,-2.062418,7.8835244,-0.9230077,15.657266,-30.714163,57.273983,19.885508,-7.343168,-5.576357,-7.0459304,-15.799714,45.58761,58.863495,-18.510893,-8.153576,4.564468
13,0.5176787376403809,2.4755592346191406,78.47692108154297,0.5471649469503352,0.009721647898596598,-89.4346847772436,0.44911447,3.9617853,14.6470175,6.825923,-7.5637946,-4.7820926,0.06207239,-6.170895,-6.702077,8.257131,-8.76029,5.95776,1.1669626,-2.1595893,8.036849,-1.0418433,15.723028,-30.637806,57.243267,19.870821,-7.336005,-5.5403357,-7.1366143,-15.818053,45.637943,58.79001,-18.46903,-8.167935,4.570784
14,0.5397407412528992,2.531826972961426,78.4852523803711,0.538252191199383,0.06357707437880325,-89.388235715694,0.32785273,3.9445343,14.606441,6.8235292,-7.4961467,-4.740439,-0.04873102,-6.185705,-6.7335343,8.277821,-8.698969,5.9178567,1.1393085,-2.2646577,8.191141,-1.1711735,15.785413,-30.560543,57.231575,19.85416,-7.332766,-5.4961824,-7.2208877,-15.829454,45.667694,58.712147,-18.392372,-8.183774,4.5801644
15,0.5549734234809875,2.588759660720825,78.49517822265625,0.5259600508141548,0.12019142886415839,-89.33967990752885,0.20005742,3.9333332,14.563344,6.821684,-7.4262877,-4.70014,-0.16355127,-6.1948733,-6.768268,8.297339,-8.634178,5.8725495,1.1055481,-2.378402,8.348702,-1.2996349,15.855168,-30.480253,57.22094,19.84052,-7.332417,-5.4529147,-7.2977734,-15.835284,45.668003,58.61941,-18.31187,-8.198867,4.5852284
16,0.5651783347129822,2.6420445442199707,78.50601196289062,0.5113126581008813,0.17963823456225156,-89.29430503950414,0.06615921,3.9296527,14.521871,6.8195543,-7.3553576,-4.6618905,-0.28016403,-6.1959414,-6.803884,8.305644,-8.560594,5.831994,1.0717146,-2.4966023,8.507287,-1.4407371,15.921749,-30.413614,57.226357,19.831394,-7.3337793,-5.4150977,-7.360962,-15.835137,45.619267,58.506214,-18.258057,-8.21141,4.578464
17,0.5780826807022095,2.700385093688965,78.51466369628906,0.4927434820510011,0.24011136562564192,-89.25089045923009,-0.071583495,3.9317389,14.481254,6.817664,-7.287405,-4.6244073,-0.39310578,-6.190593,-6.843121,8.298181,-8.47841,5.801939,1.0353998,-2.6249657,8.671927,-1.5795519,16.002264,-30.356155,57.226124,19.825554,-7.338754,-5.38606,-7.413839,-15.830395,45.532253,58.373062,-18.229975,-8.216315,4.553707
18,0.5958166122436523,2.7588706016540527,78.52404022216797,0.4722592411202522,0.3022472872815265,-89.20745945735341,-0.21419689,3.939403,14.439868,6.8156667,-7.2200775,-4.587751,-0.50533396,-6.1795273,-6.886041,8.280609,-8.389278,5.776107,0.9961312,-2.762614,8.841187,-1.7187566,16.093302,-30.30567,57.225147,19.820652,-7.3471785,-5.362217,-7.4572625,-15.820932,45.41046,58.222218,-18.214684,-8.21608,4.5163283
19,0.6014403700828552,2.838329315185547,78.53601837158203,0.44688647544613236,0.36970374778286863,-89.16844508730216,-0.36522874,3.9567702,14.400529,6.81376,-7.147818,-4.5549045,-0.6271219,-6.158113,-6.926656,8.260907,-8.293188,5.745734,0.95762694,-2.9075327,9.012555,-1.8636497,16.19305,-30.265974,57.22479,19.820564,-7.354843,-5.3450828,-7.485249,-15.807197,45.228973,58.03972,-18.221792,-8.220751,4.477208
20,0.6014118194580078,2.9192090034484863,78.54702758789062,0.41317047964524356,0.4460373591808686,-89.13803779556552,-0.52893025,3.9886706,14.365833,6.81105,-7.063339,-4.528959,-0.7655679,-6.120891,-6.959386,8.23899,-8.184981,5.702205,0.92506564,-3.058522,9.184166,-2.0194862,16.304657,-30.245272,57.223305,19.82493,-7.357561,-5.336865,-7.4912486,-15.790126,44.959637,57.810036,-18.2623,-8.240662,4.4472356
21,0.598071813583374,2.999100923538208,78.56033325195312,0.3711336022097261,0.5338745639381766,-89.11421972620809,-0.70798886,4.0344834,14.3345,6.807002,-6.9638567,-4.511676,-0.9211136,-6.0681906,-6.986186,8.210461,-8.061923,5.6436567,0.8995026,-3.2137365,9.354467,-2.1892595,16.429121,-30.255041,57.221085,19.831875,-7.3498073,-5.3452253,-7.470816,-15.770457,44.58525,57.53007,-18.353918,-8.282442,4.4330115
22,0.5886404514312744,3.0846550464630127,78.57408905029297,0.3248101334921974,0.6307123757003782,-89.09586751275988,-0.90065634,4.0917006,14.30587,6.8037333,-6.8540363,-4.501014,-1.093728,-6.0033937,-7.00852,8.18432,-7.931479,5.5745583,0.8806137,-3.3756309,9.525608,-2.3718383,16.566902,-30.292604,57.21888,19.838959,-7.335264,-5.366639,-7.428897,-15.749186,44.122906,57.206253,-18.483871,-8.339412,4.4276385
23,0.572049081325531,3.1739044189453125,78.58879852294922,0.2736020989739912,0.7326943087252692,-89.08852678751808,-1.1010225,4.161332,14.283763,6.8005605,-6.737791,-4.49425,-1.277865,-5.9248805,-7.021156,8.154011,-7.7889285,5.4951677,0.8700937,-3.5491912,9.701921,-2.5568736,16.719927,-30.334696,57.20626,19.85482,-7.3234196,-5.3881507,-7.36547,-15.726638,43.588997,56.830597,-18.627611,-8.401494,4.422497
24,0.5572373270988464,3.2670087814331055,78.60364532470703,0.21902006917506497,0.836041487119919,-89.09805330677452,-1.3033918,4.2450633,14.271868,6.796957,-6.6191983,-4.488462,-1.4741127,-5.8309493,-7.0183206,8.127546,-7.6381216,5.405708,0.86844605,-3.7390678,9.88757,-2.7359962,16.891975,-30.360397,57.173878,19.884274,-7.3236113,-5.3968086,-7.283248,-15.702939,43.00339,56.397606,-18.75765,-8.45846,4.4087257
25,0.5287287831306458,3.3750479221343994,78.62486267089844,0.1569556153931701,0.9460280724965949,-89.12002657914452,-1.5175632,4.3469152,14.264198,6.79371,-6.4969454,-4.4832926,-1.6858853,-5.7181187,-7.003413,8.098802,-7.4719524,5.301628,0.86910766,-3.9451632,10.0840845,-2.9067116,17.08611,-30.362217,57.114666,19.947697,-7.33725,-5.3825703,-7.178717,-15.676614,42.351566,55.889442,-18.890217,-8.496879,4.3748393
26,0.4864954352378845,3.4800808429718018,78.64122772216797,0.08812816815705513,1.0625805080921686,-89.15345797688089,-1.7433335,4.465336,14.261011,6.7914114,-6.370166,-4.4795876,-1.9124076,-5.588538,-6.9777155,8.068718,-7.292721,5.183929,0.872671,-4.165782,10.289652,-3.0698104,17.303415,-30.349937,57.029957,20.036596,-7.359668,-5.3553867,-7.0527525,-15.646643,41.629524,55.31419,-19.033072,-8.525644,4.3286285
27,0.4489278495311737,3.578672170639038,78.65792083740234,0.017395152980345475,1.1736742144064345,-89.2083500168289,-1.9598519,4.596207,14.274669,6.788773,-6.2425294,-4.476336,-2.1415868,-5.4456725,-6.9311185,8.041029,-7.10966,5.059266,0.89016885,-4.40103,10.5047,-3.221309,17.544825,-30.327602,56.922092,20.111977,-7.391401,-5.3322277,-6.919573,-15.615168,40.87964,54.707268,-19.138176,-8.567992,4.2901254
