2.291771471500396729e-01,-1.002453714609146118e-01,7.375653982162475586e-01,-3.236773237586021423e-02,2.697265334427356720e-02,9.970920085906982422e-01,6.350088864564895630e-02,1.111224368214607239e-01,2.302495576441287994e-02,8.239206671714782715e-02,-1.133414637297391891e-02,-3.226509988307952881e-01,-3.387892618775367737e-02,7.236601412296295166e-02,-1.424869894981384277e-01,-1.722907572984695435e-01,4.359256103634834290e-02,-3.371837139129638672e-01,7.638537138700485229e-02,-2.394945174455642700e-01,-4.732843860983848572e-02,-8.668042719364166260e-02,1.559359766542911530e-02,1.862650215625762939e-01,-3.142965435981750488e-01,1.209687829017639160e+00,4.514874517917633057e-01,-7.638467103242874146e-02,1.808486133813858032e-02,-4.596370458602905273e-02,-1.885505169630050659e-01,3.117717206478118896e-01,1.284464120864868164e+00,-5.118740797042846680e-01,2.681995369493961334e-02,4.762255400419235229e-02
2.312948554754257202e-01,-1.006575822830200195e-01,7.379375696182250977e-01,-3.321858122944831848e-02,2.575588971376419067e-02,9.971256256103515625e-01,6.303653866052627563e-02,1.110143586993217468e-01,2.576825581490993500e-02,7.727346569299697876e-02,-2.471658028662204742e-02,-3.107835650444030762e-01,-2.992616966366767883e-02,6.055282428860664368e-02,-1.408566832542419434e-01,-1.670511960983276367e-01,5.491412803530693054e-02,-3.382954001426696777e-01,7.084936648607254028e-02,-2.400543093681335449e-01,-4.813237488269805908e-02,-5.166316777467727661e-02,-7.665854692459106445e-02,2.100160717964172363e-01,-2.957913279533386230e-01,1.259918212890625000e+00,4.371576309204101562e-01,-9.831081330776214600e-02,-2.517865225672721863e-02,-1.365997344255447388e-01,-2.039736509323120117e-01,2.961347699165344238e-01,1.332229495048522949e+00,-5.025648474693298340e-01,6.863890681415796280e-03,9.195983409881591797e-02
2.316055893898010254e-01,-1.006989702582359314e-01,7.380097508430480957e-01,-3.233482688665390015e-02,2.565120346844196320e-02,9.971613883972167969e-01,6.297344714403152466e-02,1.130563765764236450e-01,2.576479129493236542e-02,7.677219808101654053e-02,-2.620817534625530243e-02,-3.098745048046112061e-01,-2.955696173012256622e-02,6.088061258196830750e-02,-1.407784223556518555e-01,-1.667537093162536621e-01,5.714802071452140808e-02,-3.391462266445159912e-01,7.093096524477005005e-02,-2.389890104532241821e-01,-4.968480020761489868e-02,-3.768729791045188904e-02,-1.016956493258476257e-01,2.122357189655303955e-01,-2.925779223442077637e-01,1.269918560981750488e+00,4.350258708000183105e-01,-1.047434732317924500e-01,-2.836544811725616455e-02,-1.621480286121368408e-01,-2.037448883056640625e-01,2.927795350551605225e-01,1.343690276145935059e+00,-5.014112591743469238e-01,1.814002636820077896e-03,9.542950242757797241e-02
2.318142801523208618e-01,-1.006354093551635742e-01,7.381321191787719727e-01,-3.238568827509880066e-02,2.577683143317699432e-02,9.971547722816467285e-01,6.300086528062820435e-02,1.126645132899284363e-01,2.554380521178245544e-02,7.652587443590164185e-02,-2.637894079089164734e-02,-3.097745180130004883e-01,-2.911213412880897522e-02,6.016712635755538940e-02,-1.409352272748947144e-01,-1.665078103542327881e-01,5.767295509576797485e-02,-3.391481041908264160e-01,7.116892188787460327e-02,-2.378004044294357300e-01,-5.093499645590782166e-02,-3.237191215157508850e-02,-1.098813936114311218e-01,2.137393653392791748e-01,-2.931721210479736328e-01,1.269884467124938965e+00,4.345978498458862305e-01,-1.070922166109085083e-01,-2.716907486319541931e-02,-1.720056086778640747e-01,-2.037470191717147827e-01,2.933031320571899414e-01,1.344884395599365234e+00,-5.012781620025634766e-01,1.371019025100395083e-04,9.479022026062011719e-02
2.321718335151672363e-01,-1.005220115184783936e-01,7.383027672767639160e-01,-3.310506045818328857e-02,2.601759321987628937e-02,9.971235990524291992e-01,6.302139163017272949e-02,1.103296801447868347e-01,2.523066475987434387e-02,7.635869085788726807e-02,-2.610181644558906555e-02,-3.094454109668731689e-01,-2.864070050418376923e-02,5.775075405836105347e-02,-1.412683874368667603e-01,-1.662284880876541138e-01,5.810748040676116943e-02,-3.387755751609802246e-01,7.140098512172698975e-02,-2.367747724056243896e-01,-5.206325277686119080e-02,-2.885132096707820892e-02,-1.137921363115310669e-01,2.153211236000061035e-01,-2.945505678653717041e-01,1.267670512199401855e+00,4.335153996944427490e-01,-1.083169654011726379e-01,-2.555826678872108459e-02,-1.785595864057540894e-01,-2.043722271919250488e-01,2.948628962039947510e-01,1.342668652534484863e+00,-5.004449486732482910e-01,-8.476119255647063255e-04,9.379751235246658325e-02
2.327812761068344116e-01,-1.003817692399024963e-01,7.385332584381103516e-01,-3.422183170914649963e-02,2.631291188299655914e-02,9.970805644989013672e-01,6.298252940177917480e-02,1.063685566186904907e-01,2.489309385418891907e-02,7.617119699716567993e-02,-2.516436949372291565e-02,-3.088007569313049316e-01,-2.809457667171955109e-02,5.399156361818313599e-02,-1.417195498943328857e-01,-1.659834980964660645e-01,5.862719193100929260e-02,-3.380235731601715088e-01,7.158503681421279907e-02,-2.359157055616378784e-01,-5.319965630769729614e-02,-2.472773753106594086e-02,-1.166467890143394470e-01,2.168514579534530640e-01,-2.960599958896636963e-01,1.265708208084106445e+00,4.308392107486724854e-01,-1.091212555766105652e-01,-2.366518788039684296e-02,-1.847362965345382690e-01,-2.055410891771316528e-01,2.966233789920806885e-01,1.339426040649414062e+00,-4.976190924644470215e-01,-1.773945754393935204e-03,9.277272224426269531e-02
2.336915135383605957e-01,-1.002324372529983521e-01,7.388370633125305176e-01,-3.572108224034309387e-02,2.662924677133560181e-02,9.970285892486572266e-01,6.284051388502120972e-02,1.005866974592208862e-01,2.457113936543464661e-02,7.590226829051971436e-02,-2.328666672110557556e-02,-3.079042732715606689e-01,-2.737501263618469238e-02,4.889599606394767761e-02,-1.422212719917297363e-01,-1.658391356468200684e-01,5.916545540094375610e-02,-3.368380665779113770e-01,7.166611403226852417e-02,-2.351598888635635376e-01,-5.434034392237663269e-02,-1.924189180135726929e-02,-1.193481609225273132e-01,2.183326631784439087e-01,-2.975962460041046143e-01,1.264889955520629883e+00,4.262779057025909424e-01,-1.096280589699745178e-01,-2.139389328658580780e-02,-1.911056935787200928e-01,-2.073318213224411011e-01,2.980236113071441650e-01,1.336334228515625000e+00,-4.921764433383941650e-01,-2.735106972977519035e-03,9.181492030620574951e-02
2.349264174699783325e-01,-1.000960692763328552e-01,7.392226457595825195e-01,-3.774924576282501221e-02,2.695686742663383484e-02,9.969633221626281738e-01,6.254988163709640503e-02,9.249105304479598999e-02,2.425421588122844696e-02,7.548327744007110596e-02,-2.021519467234611511e-02,-3.069885075092315674e-01,-2.632354013621807098e-02,4.210413992404937744e-02,-1.427384614944458008e-01,-1.658170968294143677e-01,5.978069081902503967e-02,-3.353296220302581787e-01,7.154889404773712158e-02,-2.344536632299423218e-01,-5.542397499084472656e-02,-1.226895209401845932e-02,-1.219898164272308350e-01,2.199242264032363892e-01,-2.991572916507720947e-01,1.265438437461853027e+00,4.204030036926269531e-01,-1.098202094435691833e-01,-1.872555539011955261e-02,-1.974703967571258545e-01,-2.099279910326004028e-01,2.983662486076354980e-01,1.333968997001647949e+00,-4.846619665622711182e-01,-3.735378384590148926e-03,9.089151769876480103e-02
2.365051507949829102e-01,-9.999934583902359009e-02,7.396901249885559082e-01,-4.052446410059928894e-02,2.731054276227951050e-02,9.968740940093994141e-01,6.208010017871856689e-02,8.147554099559783936e-02,2.386832423508167267e-02,7.478457689285278320e-02,-1.573949307203292847e-02,-3.064502179622650146e-01,-2.471741661429405212e-02,3.296217322349548340e-02,-1.432992666959762573e-01,-1.658452153205871582e-01,6.082277372479438782e-02,-3.338349461555480957e-01,7.109488546848297119e-02,-2.337312251329421997e-01,-5.641278624534606934e-02,-3.847458399832248688e-03,-1.242900490760803223e-01,2.218977659940719604e-01,-3.007707595825195312e-01,1.266901612281799316e+00,4.144767224788665771e-01,-1.097383052110671997e-01,-1.572632603347301483e-02,-2.033250033855438232e-01,-2.135426402091979980e-01,2.971155345439910889e-01,1.332237958908081055e+00,-4.767031967639923096e-01,-4.901874810457229614e-03,8.981793373823165894e-02
2.384472936391830444e-01,-9.996461868286132812e-02,7.402322888374328613e-01,-4.423594474792480469e-02,2.772788703441619873e-02,9.967436790466308594e-01,6.145270913839340210e-02,6.708071380853652954e-02,2.328499965369701385e-02,7.362079620361328125e-02,-9.766582399606704712e-03,-3.066841959953308105e-01,-2.232665196061134338e-02,2.074121497571468353e-02,-1.439977884292602539e-01,-1.656942367553710938e-01,6.288218498229980469e-02,-3.327859640121459961e-01,7.018233835697174072e-02,-2.328191995620727539e-01,-5.736213549971580505e-02,6.167585961520671844e-03,-1.259017288684844971e-01,2.245457470417022705e-01,-3.024910092353820801e-01,1.268198847770690918e+00,4.097955822944641113e-01,-1.095299571752548218e-01,-1.257358398288488388e-02,-2.081077396869659424e-01,-2.183550447225570679e-01,2.944529056549072266e-01,1.330295205116271973e+00,-4.704672694206237793e-01,-6.435617338865995407e-03,8.840188384056091309e-02
